course_id,discipline,user_id,registered,viewed,explored,grade,new_col,Target_Variable,grade_reqs,completed%,course_reqs,final_cc_cname_ID,primary_reason,learner_type,expected_hours_week,LoE_ID,age_ID,gender,start_time_ID,course_start,course_end,last_event_ID,nEvents,nDays_act,nContent,nForum_posts,course_length
832945596,Professions and Applied Sciences,832633777,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a promotion at work""","""Active participant""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2015 Q2""","""""",0,0,0,0,123
832945284,Computer Science,832649000,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Active""","""More than 8 hours per week""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q3""","""2015 Q1""","""""",0,0,0,0,101
832945510,Interdisciplinary and Other,832645109,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Active""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,1,21
832945251,Professions and Applied Sciences,832652290,1,0,0,0.375,high,1,0,0,0,"""*""","""I hope to gain skills to use at work""","""Active participant""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q1""",0,0,0,0,39
832945812,Humanities,832485155,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Drop-in""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q2""","""2014 Q3""","""""",0,0,0,0,45
832945148,Education,832413261,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Active""","""Between 4 and 6 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q2""","""2014 Q3""","""""",0,0,0,3,46
832945596,Professions and Applied Sciences,832668595,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a promotion at work""","""Active participant""","""Between 6 and 8 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2015 Q2""","""""",0,0,0,0,123
832945510,Interdisciplinary and Other,832669405,1,0,0,0.4,high,1,1,0,1,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 6 and 8 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2014 Q4""","""2014 Q4""","""2015 Q2""",1,1,33,0,21
832945219,Business and Management,832668595,1,1,0,0.89,high,1,1,0,1,"""*""","""I hope to gain skills for a new career""","""Active participant""","""Between 6 and 8 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2014 Q3""","""2015 Q3""","""2015 Q1""",71,2,17,12,317
832945219,Business and Management,832432710,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Passive participant""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q3""","""2015 Q3""","""""",0,0,0,0,317
832945559,Business and Management,832682493,1,1,0,0,low,0,1,0.01,1,"""*""","""I hope to gain skills for a promotion at work""","""Active""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q1""","""2015 Q1""",54,4,7,1,60
832960066,Interdisciplinary and Other,832378587,1,0,1,0,low,0,1,0.077,1,"""*""","""I want to try Canvas Network""","""Passive participant""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q1""",0,0,12,0,146
832960005,Medical Pre-Medical,832613390,1,1,0,0.062,low,0,0,0,0,"""*""","""I am preparing to go back to school""","""Active""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q1""","""2015 Q1""",39,2,0,0,62
